race,geography,geo_level,dem_share,n_sample,date,pollster,notes,methodology,xt_education_college,xt_education_noncollege,xt_race_white,xt_race_black,xt_race_hispanic,xt_race_asian,xt_urbanicity_urban,xt_urbanicity_rural,xt_age_senior,xt_religion_evangelical,xt_vote_race_white,xt_vote_race_black,xt_vote_race_hispanic,xt_vote_race_asian,xt_vote_education_college,xt_vote_education_noncollege,xt_vote_age_senior
2026 NH Senate,NH,state,0.5172,1034.0,2025-10-15,co/efficient,D=45.0% R=42.0%; LV; src=270towin,online,,,,,,,,,,,,,,,,,
2026 NH Senate,NH,state,0.55,2212.0,2025-11-19,Saint Anselm College,D=44.0% R=36.0%; RV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 NH Senate,NH,state,0.5176,2212.0,2025-11-24,Univ. of New Hampshire,D=44.0% R=41.0%; RV; src=270towin,phone,,,,,,,,,,,,,,,,,
2026 NH Senate,NH,state,0.6216,603.0,2025-12-28,NHJournal/Praecones Analytica,D=46.0% R=28.0%; RV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 NH Senate,NH,state,0.5385,603.0,2026-01-04,NH Journal,D=42.0% R=36.0%; RV; src=270towin,phone,,,,,,,,,,,,,,,,,
2026 NH Senate,NH,state,0.5263,2053.0,2026-01-19,UNH,D=50.0% R=45.0%; LV; src=rcp,phone,,,,,,,,,,,,,,,,,
2026 NH Senate,NH,state,0.5532,2053.0,2026-01-19,University of New Hampshire,D=52.0% R=42.0%; LV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 NH Senate,NH,state,0.5263,2053.0,2026-01-21,Univ. of New Hampshire,D=50.0% R=45.0%; LV; src=270towin,phone,,,,,,,,,,,,,,,,,
2026 NH Senate,NH,state,0.5233,563.0,2026-01-29,yes. every kid.,D=45.0% R=41.0%; LV; src=wikipedia,unknown,,,,,,,,,,,,,,,,,
2026 NH Senate,NH,state,0.5169,1491.0,2026-03-18,St. Anselm,D=46.0% R=43.0%; RV; src=rcp,phone,,,,,,,,,,,,,,,,,
2026 NH Senate,NH,state,0.5529,1491.0,2026-03-18,Saint Anselm College,D=47.0% R=38.0%; RV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 NH Senate,NH,state,0.5169,1491.0,2026-03-23,Saint Anselm College,D=46.0% R=43.0%; RV; src=270towin,phone,,,,,,,,,,,,,,,,,
2026 NH Senate,NH,state,0.5056,1100.0,2026-03-23,Emerson College,D=45.0% R=44.0%; LV; src=rcp,mixed,0.512,0.488,,,,,,,0.411,,,,,,0.5565,0.3575,0.444
2026 NH Senate,NH,state,0.5056,1100.0,2026-03-26,Emerson College,D=45.0% R=44.0%; LV; src=270towin,mixed,0.512,0.488,,,,,,,0.411,,,,,,0.5565,0.3575,0.444
2026 NV Governor,NV,state,0.5,800.0,2025-11-18,Emerson College,D=41.0% R=41.0%; RV; src=rcp,mixed,0.339,0.661,0.634,0.069,0.169,0.051,,,0.387,,0.361,0.646,0.48,0.483,0.4955,0.3605,0.4
2026 NV Governor,NV,state,0.4935,845.0,2026-03-13,Noble Predictive Insights,D=38.0% R=39.0%; RV; src=rcp,mixed,,,,,,,,,,,,,,,,,
2026 NY Governor,NY,state,0.6024,1442.0,2026-02-19,Marist College,D=50.0% R=33.0%; RV; src=rcp,phone,0.44,0.56,0.63,0.13,0.13,,,,0.34,,0.528736,0.908046,0.756757,,0.647727,0.567901,0.606742
2026 NY Governor,NY,state,0.5802,804.0,2026-03-26,Siena College,D=47.0% R=34.0%; RV; src=rcp,phone,,,,,,,,,,,,,,,,,
2026 OH Governor,OH,state,0.4737,800.0,2025-04-24,Bowling Green State University/YouGov,D=45.0% R=50.0%; RV; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 OH Governor,OH,state,0.4737,800.0,2025-04-29,Bowling Green Univ.,D=45.0% R=50.0%; RV; src=270towin,online,,,,,,,,,,,,,,,,,
2026 OH Governor,OH,state,0.4946,800.0,2025-07-28,Impact Research (D),D=46.0% R=47.0%; LV; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 OH Governor,OH,state,0.4432,1000.0,2025-08-19,Emerson College,D=39.0% R=49.0%; RV; src=wikipedia,mixed,0.355,0.645,0.813,0.116,0.038,0.011,,,0.326,,,,,,,,
2026 OH Governor,OH,state,0.4432,1000.0,2025-08-22,Emerson College,D=39.0% R=49.0%; LV; src=270towin,mixed,0.355,0.645,0.813,0.116,0.038,0.011,,,0.326,,,,,,,,
2026 OH Governor,OH,state,0.5055,800.0,2025-09-22,Hart Research (D),D=46.0% R=45.0%; LV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 OH Governor,OH,state,0.4845,800.0,2025-10-14,YouGov,D=47.0% R=50.0%; RV; src=rcp,online,,,,,,,,,,,,,,,,,
2026 OH Governor,OH,state,0.4845,800.0,2025-10-14,Bowling Green State University/YouGov,D=47.0% R=50.0%; RV; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 OH Governor,OH,state,0.4845,800.0,2025-10-17,Bowling Green Univ.,D=47.0% R=50.0%; RV; src=270towin,online,,,,,,,,,,,,,,,,,
2026 OH Governor,OH,state,0.5055,850.0,2025-12-08,Emerson College,D=46.0% R=45.0%; RV; src=rcp,mixed,0.355,0.645,0.813,0.116,0.038,0.011,,,0.326,,,,,,,,
2026 OH Governor,OH,state,0.4886,603.0,2025-12-08,Data Targeting (R),D=43.0% R=45.0%; LV; src=wikipedia,mixed,,,,,,,,,,,,,,,,,
2026 OH Governor,OH,state,0.5055,850.0,2025-12-11,Emerson College,D=46.0% R=45.0%; RV; src=270towin,mixed,0.355,0.645,0.813,0.116,0.038,0.011,,,0.326,,,,,,,,
2026 OH Governor,OH,state,0.5521,1343.0,2026-02-22,EMC Research (D),D=53.0% R=43.0%; LV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 OH Governor,OH,state,0.5521,1343.0,2026-03-10,EMC Research,D=53.0% R=43.0%; LV; src=270towin,phone,,,,,,,,,,,,,,,,,
2026 OH Governor,OH,state,0.5055,809.0,2026-03-14,Quantus Insights,D=46.0% R=45.0%; LV; src=rcp,online,,,,,,,,,,,,,,,,,
2026 OH Governor,OH,state,0.5055,809.0,2026-03-16,Quantus Insights,D=46.0% R=45.0%; LV; src=270towin,online,,,,,,,,,,,,,,,,,
2026 OH Governor,OH,state,0.4947,1000.0,2026-04-14,YouGov,D=47.0% R=48.0%; RV; src=rcp,,,,,,,,,,,,,,,,,,
2026 OH Governor,OH,state,0.4947,1000.0,2026-04-14,Bowling Green State University/YouGov,D=47.0% R=48.0%; RV; src=wikipedia,,,,,,,,,,,,,,,,,,
2026 OH Governor,OH,state,0.4947,1000.0,2026-04-20,Bowling Green Univ.,D=47.0% R=48.0%; RV; src=270towin,,,,,,,,,,,,,,,,,,
2026 OH Governor,OH,state,0.4984,,,Decision Desk HQ,D=45.4% R=45.7%; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 OH Senate,OH,state,0.5052,800.0,2025-10-14,YouGov,D=49.0% R=48.0%; RV; src=rcp,online,,,,,,,,,,,,,,,,,
2026 OH Senate,OH,state,0.4842,850.0,2025-12-08,Emerson College,D=46.0% R=49.0%; RV; src=rcp,mixed,0.355,0.645,0.813,0.116,0.038,0.011,,,0.326,,,,,,,,
2026 OH Senate,OH,state,0.4889,784.0,2026-03-14,Quantus Insights,D=44.0% R=46.0%; LV; src=rcp,online,,,,,,,,,,,,,,,,,
2026 OH Senate,OH,state,0.4845,1000.0,2026-04-14,YouGov,D=47.0% R=50.0%; RV; src=rcp,,,,,,,,,,,,,,,,,,
2026 PA Governor,PA,state,0.5851,1579.0,2025-09-29,Quinnipiac University,D=55.0% R=39.0%; RV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 PA Governor,PA,state,0.5895,1579.0,2025-10-01,Quinnipiac University,D=56.0% R=39.0%; RV; src=270towin,phone,,,,,,,,,,,,,,,,,
2026 PA Governor,PA,state,0.5978,836.0,2026-02-23,Quinnipiac University,D=55.0% R=37.0%; RV; src=rcp,phone,,,,,,,,,,,,,,,,,
2026 PA Governor,PA,state,0.5978,836.0,2026-02-25,Quinnipiac University,D=55.0% R=37.0%; RV; src=270towin,phone,,,,,,,,,,,,,,,,,
2026 PA Governor,PA,state,0.6316,834.0,2026-03-01,Franklin &amp; Marshall,D=48.0% R=28.0%; RV; src=rcp,phone,,,,,,,,,,,,,,,,,
2026 PA Governor,PA,state,0.6316,834.0,2026-03-01,Franklin & Marshall College,D=48.0% R=28.0%; RV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 PA Governor,PA,state,0.6316,834.0,2026-03-05,Franklin & Marshall,D=48.0% R=28.0%; RV; src=270towin,phone,,,,,,,,,,,,,,,,,
2026 PA Governor,PA,state,0.617,700.0,2026-03-29,Susquehanna,D=58.0% R=36.0%; LV; src=rcp,mixed,,,,,,,,,,,,,,,,,
2026 TX Governor,TX,state,0.4674,843.0,2025-08-29,Texas Public Opinion Research,D=43.0% R=49.0%; RV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 TX Governor,TX,state,0.4565,1165.0,2026-01-12,Emerson College,D=42.0% R=50.0%; LV; src=rcp,mixed,0.398,0.602,0.59,0.125,0.223,0.029,,,0.358,,0.345,0.691,0.478,0.518,0.519,0.3415,0.383
2026 TX Governor,TX,state,0.4565,1165.0,2026-01-15,Emerson College,D=42.0% R=50.0%; LV; src=270towin,mixed,0.398,0.602,0.59,0.125,0.223,0.029,,,0.358,,0.345,0.691,0.478,0.518,0.519,0.3415,0.383
2026 TX Governor,TX,state,0.4615,1502.0,2026-01-31,University of Houston,D=42.0% R=49.0%; LV; src=rcp,phone,,,,,,,,,,,,,,,,,
2026 TX Governor,TX,state,0.4615,1502.0,2026-01-31,University of Houston/YouGov,D=42.0% R=49.0%; LV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 TX Governor,TX,state,0.4831,1000.0,2026-02-03,GBAO (D),D=43.0% R=46.0%; LV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 TX Governor,TX,state,0.4615,1502.0,2026-02-11,Univ. of Houston,D=42.0% R=49.0%; LV; src=270towin,phone,,,,,,,,,,,,,,,,,
2026 TX Governor,TX,state,0.4556,1117.0,2026-02-22,UT Tyler,D=41.0% R=49.0%; RV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 TX Governor,TX,state,0.4556,959.0,2026-02-27,Univ. of Texas - Tyler,D=41.0% R=49.0%; LV; src=270towin,phone,,,,,,,,,,,,,,,,,
2026 TX Senate,TX,state,0.5,1165.0,2026-01-12,Emerson College,D=46.0% R=46.0%; LV; src=rcp,mixed,0.398,0.602,0.59,0.125,0.223,0.029,,,0.358,,0.345,0.691,0.478,0.518,0.519,0.3415,0.383
2026 TX Senate,TX,state,0.4889,1502.0,2026-01-31,University of Houston,D=44.0% R=46.0%; LV; src=rcp,phone,,,,,,,,,,,,,,,,,
2026 WI Governor,WI,state,0.4819,500.0,2025-09-30,Platform Communications,D=40.0% R=43.0%; LV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 WI Governor,WI,state,0.5319,500.0,2025-10-08,Impact Research (D),D=50.0% R=44.0%; LV; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 WI Governor,WI,state,0.5119,1175.0,2026-03-19,TIPP Insights (R),D=43.0% R=41.0%; LV; src=wikipedia,mixed,,,,,,,,,,,,,,,,,
2026 WI Governor,WI,state,0.4819,1175.0,2026-03-23,TIPP Insights,D=40.0% R=43.0%; LV; src=270towin,mixed,,,,,,,,,,,,,,,,,
